ID,模块,子模块/页面,角色,前置条件,用例标题,输入/操作,期望结果,等级,类型,关联接口/组件,备注
DEV_API_001,设备管理,设备列表,门店店长,已登录，门店有设备数据,获取设备列表-正常流程,GET /device/list?pageNum=1&pageSize=10,返回200，data包含设备列表，分页信息正确,P0,功能,DeviceController#getDeviceList,
DEV_API_002,设备管理,设备列表,门店店长,已登录,获取设备列表-分页参数校验,GET /device/list?pageNum=0&pageSize=0,返回400，提示分页参数无效,P1,边界,DeviceController#getDeviceList,
DEV_API_003,设备管理,设备列表,未登录用户,未登录状态,获取设备列表-权限校验,GET /device/list,返回401，提示未授权访问,P0,权限,DeviceController#getDeviceList,
DEV_API_004,设备管理,设备列表,门店店长,已登录,获取设备列表-筛选功能,GET /device/list?deviceType=招牌灯&status=online,返回200，只包含在线招牌灯设备,P1,功能,DeviceController#getDeviceList,
DEV_API_005,设备管理,设备列表,门店店长,已登录，大量设备数据,获取设备列表-性能测试,GET /device/list?pageSize=1000,3秒内返回结果，数据完整,P2,性能,DeviceController#getDeviceList,
DEV_API_006,设备管理,设备列表,门店店长,已登录,获取设备列表-排序功能,GET /device/list?sortBy=createTime&sortOrder=desc,返回200，按创建时间倒序排列,P1,功能,DeviceController#getDeviceList,
DEV_API_007,设备管理,设备列表,门店店长,已登录,获取设备列表-多条件筛选,GET /device/list?deviceType=空调&status=online&storeId=STORE001,返回200，同时满足多个筛选条件,P1,功能,DeviceController#getDeviceList,
DEV_API_008,设备管理,设备列表,门店店长,已登录,获取设备列表-时间范围筛选,GET /device/list?startDate=2024-01-01&endDate=2024-01-31,返回200，只包含指定时间范围内的设备,P1,功能,DeviceController#getDeviceList,
DEV_API_009,设备管理,设备列表,门店店长,已登录,获取设备列表-关键词搜索,GET /device/list?keyword=测试设备,返回200，包含关键词匹配的设备,P1,功能,DeviceController#getDeviceList,
DEV_API_010,设备管理,设备列表,门店店长,已登录，无设备数据,获取设备列表-空数据,GET /device/list,返回200，data为空数组，total为0,P2,边界,DeviceController#getDeviceList,
DEV_API_011,设备管理,设备绑定,实施操作员,已登录，有设备ID和门店ID,设备绑定-正常流程,"POST /device/bind {deviceId:""DEV001"",storeId:""STORE001""}",返回200，绑定成功，设备状态变为在线,P0,功能,DeviceController#bindDevice,
DEV_API_012,设备管理,设备绑定,实施操作员,已登录,设备绑定-参数缺失,"POST /device/bind {deviceId:""DEV001""}",返回400，提示storeId必填,P0,边界,DeviceController#bindDevice,
DEV_API_013,设备管理,设备绑定,实施操作员,设备已被绑定,设备绑定-重复绑定,"POST /device/bind {deviceId:""BOUND_DEV"",storeId:""STORE001""}",返回400，提示设备已被绑定,P0,异常,DeviceController#bindDevice,
DEV_API_014,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备ID不存在,"POST /device/bind {deviceId:""NOT_EXIST"",storeId:""STORE001""}",返回404，提示设备不存在,P1,异常,DeviceController#bindDevice,
DEV_API_015,设备管理,设备绑定,实施操作员,已登录,设备绑定-门店ID不存在,"POST /device/bind {deviceId:""DEV001"",storeId:""NOT_EXIST""}",返回404，提示门店不存在,P1,异常,DeviceController#bindDevice,
DEV_API_016,设备管理,设备绑定,实施操作员,两个操作员同时操作,设备绑定-并发冲突,同时POST /device/bind相同deviceId,只有一个成功，另一个返回冲突错误,P1,异常,DeviceController#bindDevice,
DEV_API_017,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备类型校验,"POST /device/bind {deviceId:""DEV001"",storeId:""STORE001"",deviceType:""invalid""}",返回400，提示设备类型不支持,P1,边界,DeviceController#bindDevice,
DEV_API_018,设备管理,设备绑定,实施操作员,已登录,设备绑定-设备名称过长,"POST /device/bind {deviceId:""DEV001"",deviceName:""超过50字符的设备名称...""}",返回400，提示设备名称过长,P2,边界,DeviceController#bindDevice,
DEV_API_019,设备管理,设备绑定,门店店长,已登录,设备绑定-权限校验,"POST /device/bind {deviceId:""DEV001"",storeId:""OTHER_STORE""}",返回403，提示无权限绑定到其他门店,P0,权限,DeviceController#bindDevice,
DEV_API_020,设备管理,设备绑定,实施操作员,已登录,设备绑定-批量绑定,"POST /device/batch/bind {deviceIds:[""DEV001"",""DEV002""],storeId:""STORE001""}",返回200，所有设备绑定成功,P1,功能,DeviceController#batchBindDevice,
DEV_API_021,设备管理,设备解绑,实施操作员,设备已绑定,设备解绑-正常流程,DELETE /device/unbind/DEV001?reason=设备故障,返回200，解绑成功，生成解绑日志,P0,功能,DeviceController#unbindDevice,
DEV_API_022,设备管理,设备解绑,实施操作员,已登录,设备解绑-设备不存在,DELETE /device/unbind/NOT_EXIST,返回404，提示设备不存在,P1,异常,DeviceController#unbindDevice,
DEV_API_023,设备管理,设备解绑,实施操作员,设备未绑定,设备解绑-设备未绑定,DELETE /device/unbind/UNBOUND_DEV,返回400，提示设备未绑定,P1,异常,DeviceController#unbindDevice,
DEV_API_024,设备管理,设备解绑,门店店长,设备已绑定到其他门店,设备解绑-跨门店操作,DELETE /device/unbind/OTHER_STORE_DEV,返回403，提示无权限操作其他门店设备,P0,权限,DeviceController#unbindDevice,
DEV_API_025,设备管理,设备解绑,实施操作员,设备正在执行策略,设备解绑-策略执行中,DELETE /device/unbind/STRATEGY_DEV,返回400，提示设备正在执行策略，需先停止,P1,异常,DeviceController#unbindDevice,
DEV_API_026,设备管理,设备解绑,实施操作员,已登录,设备解绑-原因必填,DELETE /device/unbind/DEV001,返回400，提示解绑原因必填,P1,边界,DeviceController#unbindDevice,
DEV_API_027,设备管理,设备解绑,实施操作员,有多个设备,批量解绑设备-正常流程,"POST /device/batch/unbind {deviceIds:[""DEV001"",""DEV002""]}",返回200，所有设备解绑成功,P1,功能,DeviceController#batchUnbindDevice,
DEV_API_028,设备管理,设备解绑,实施操作员,部分设备不存在,批量解绑设备-部分失败,POST /device/batch/unbind包含不存在设备,返回207，返回成功和失败的设备列表,P1,异常,DeviceController#batchUnbindDevice,
DEV_API_029,设备管理,设备状态,门店店长,设备已绑定,获取设备状态-正常流程,GET /device/status/DEV001,返回200，包含设备在线状态、信号强度等,P0,功能,DeviceController#getDeviceStatus,
DEV_API_030,设备管理,设备状态,门店店长,设备离线超过5分钟,获取设备状态-故障检测,GET /device/status/OFFLINE_DEV,返回200，status为fault，包含离线时长,P0,功能,DeviceController#getDeviceStatus,
DEV_API_031,设备管理,设备控制,门店店长,设备在线且支持控制,设备控制-开关操作,"POST /device/control {deviceId:""DEV001"",command:""switch"",value:true}",返回200，设备执行开关操作,P0,功能,DeviceController#controlDevice,
DEV_API_032,设备管理,设备控制,门店店长,设备离线,设备控制-设备离线,"POST /device/control {deviceId:""OFFLINE_DEV"",command:""switch""}",返回400，提示设备离线无法控制,P1,异常,DeviceController#controlDevice,
DEV_API_033,设备管理,设备控制,门店店长,设备在手动模式,设备控制-手动模式限制,"POST /device/control {deviceId:""MANUAL_DEV"",command:""auto_mode""}",返回400，提示设备在手动模式，需先退出,P1,异常,DeviceController#controlDevice,
DEV_API_034,设备管理,设备控制,门店店长,设备支持调光,设备控制-亮度调节,"POST /device/control {deviceId:""LIGHT_DEV"",command:""brightness"",value:80}",返回200，设备亮度调节到80%,P1,功能,DeviceController#controlDevice,
DEV_API_035,设备管理,设备控制,门店店长,空调设备,设备控制-温度设置,"POST /device/control {deviceId:""AC_DEV"",command:""temperature"",value:26}",返回200，空调温度设置为26度,P1,功能,DeviceController#controlDevice,
DEV_API_036,设备管理,设备控制,门店店长,已登录,设备控制-无效命令,"POST /device/control {deviceId:""DEV001"",command:""invalid""}",返回400，提示不支持的控制命令,P1,边界,DeviceController#controlDevice,
DEV_API_037,设备管理,设备控制,门店店长,设备不支持该命令,设备控制-命令不匹配,"POST /device/control {deviceId:""SWITCH_DEV"",command:""temperature""}",返回400，提示设备不支持该控制命令,P1,异常,DeviceController#controlDevice,
DEV_API_038,设备管理,数据导出,门店店长,有设备数据,设备数据导出-正常流程,GET /device/export?format=excel,返回Excel文件，包含完整设备信息,P1,功能,DeviceController#exportDeviceData,
DEV_API_039,设备管理,数据导出,门店店长,有筛选条件,设备数据导出-筛选导出,GET /device/export?deviceType=招牌灯&format=excel,返回Excel文件，只包含招牌灯设备,P1,功能,DeviceController#exportDeviceData,
DEV_API_040,设备管理,数据导出,门店店长,大量数据,设备数据导出-大数据量,GET /device/export包含10万条数据,30秒内完成导出，文件完整,P2,性能,DeviceController#exportDeviceData,
DEV_API_041,设备管理,数据导出,门店店长,已登录,设备数据导出-格式校验,GET /device/export?format=invalid,返回400，提示不支持的导出格式,P2,边界,DeviceController#exportDeviceData,
DEV_API_042,设备管理,设备详情,门店店长,设备已绑定,获取设备详情-正常流程,GET /device/detail/DEV001,返回200，包含设备完整信息和历史数据,P1,功能,DeviceController#getDeviceDetail,
DEV_API_043,设备管理,设备详情,门店店长,已登录,获取设备详情-设备不存在,GET /device/detail/NOT_EXIST,返回404，提示设备不存在,P1,异常,DeviceController#getDeviceDetail,
DEV_API_044,设备管理,设备统计,门店店长,门店有设备,获取设备统计-按类型,GET /device/statistics?groupBy=type,返回200，按设备类型统计数量,P1,功能,DeviceController#getDeviceStatistics,
DEV_API_045,设备管理,设备统计,门店店长,门店有设备,获取设备统计-按状态,GET /device/statistics?groupBy=status,返回200，按设备状态统计数量,P1,功能,DeviceController#getDeviceStatistics,
STORE_API_001,门店管理,门店列表,超级管理员,已登录，系统有门店数据,获取门店列表-正常流程,GET /store/list?pageNum=1&pageSize=10,返回200，data包含门店列表，分页信息正确,P0,功能,StoreController#getStoreList,
STORE_API_002,门店管理,门店列表,门店店长,已登录,获取门店列表-权限隔离,GET /store/list,返回200，只包含当前用户管理的门店,P0,权限,StoreController#getStoreList,
STORE_API_003,门店管理,门店列表,超级管理员,已登录,获取门店列表-地区筛选,GET /store/list?province=广东省&city=深圳市,返回200，只包含深圳市的门店,P1,功能,StoreController#getStoreList,
STORE_API_004,门店管理,门店列表,超级管理员,已登录,获取门店列表-状态筛选,GET /store/list?status=active,返回200，只包含激活状态门店,P1,功能,StoreController#getStoreList,
STORE_API_005,门店管理,门店列表,超级管理员,已登录，大量门店数据,获取门店列表-性能测试,GET /store/list?pageSize=500,3秒内返回结果，数据完整,P2,性能,StoreController#getStoreList,
STORE_API_006,门店管理,门店列表,超级管理员,已登录,获取门店列表-排序功能,GET /store/list?sortBy=createTime&sortOrder=desc,返回200，按创建时间倒序排列,P1,功能,StoreController#getStoreList,
STORE_API_007,门店管理,门店列表,超级管理员,已登录,获取门店列表-关键词搜索,GET /store/list?keyword=测试门店,返回200，包含关键词匹配的门店,P1,功能,StoreController#getStoreList,
STORE_API_008,门店管理,门店列表,超级管理员,已登录，无门店数据,获取门店列表-空数据,GET /store/list,返回200，data为空数组，total为0,P2,边界,StoreController#getStoreList,
STORE_API_009,门店管理,门店详情,门店店长,门店已创建,获取门店详情-正常流程,GET /store/detail/STORE001,返回200，包含门店基本信息、设备统计、用电数据,P0,功能,StoreController#getStoreDetail,
STORE_API_010,门店管理,门店详情,门店店长,已登录,获取门店详情-门店不存在,GET /store/detail/NOT_EXIST,返回404，提示门店不存在,P1,异常,StoreController#getStoreDetail,
STORE_API_011,门店管理,门店详情,门店店长A,门店B已创建,获取门店详情-跨门店访问,GET /store/detail/STORE_B,返回403，提示无权限访问其他门店,P0,权限,StoreController#getStoreDetail,
STORE_API_012,门店管理,门店详情,门店店长,门店有完整数据,获取门店详情-包含统计信息,GET /store/detail/STORE001?includeStats=true,返回200，包含设备统计和用电分析,P1,功能,StoreController#getStoreDetail,
STORE_API_013,门店管理,门店详情,门店店长,门店数据更新,获取门店详情-缓存更新,GET /store/detail/STORE001,返回200，数据为最新状态,P1,功能,StoreController#getStoreDetail,
STORE_API_014,门店管理,门店详情,门店店长,门店有历史数据,获取门店详情-历史趋势,GET /store/detail/STORE001?period=month,返回200，包含月度趋势数据,P1,功能,StoreController#getStoreDetail,
STORE_API_015,门店管理,门店创建,超级管理员,已登录，有完整门店信息,门店创建-正常流程,"POST /store/create {name:""新门店"",address:""深圳市南山区"",contact:""张三""}",返回200，门店创建成功，生成门店ID,P0,功能,StoreController#createStore,
STORE_API_016,门店管理,门店创建,超级管理员,已登录,门店创建-必填参数校验,"POST /store/create {name:""新门店""}",返回400，提示地址和联系人必填,P0,边界,StoreController#createStore,
STORE_API_017,门店管理,门店创建,超级管理员,已登录,门店创建-名称重复,"POST /store/create {name:""已存在门店名""}",返回400，提示门店名称已存在,P1,边界,StoreController#createStore,
STORE_API_018,门店管理,门店创建,门店店长,已登录,门店创建-权限校验,"POST /store/create {name:""新门店""}",返回403，提示无权限创建门店,P0,权限,StoreController#createStore,
STORE_API_019,门店管理,门店创建,超级管理员,已登录,门店创建-地址格式校验,"POST /store/create {name:""新门店"",address:""无效地址""}",返回400，提示地址格式不正确,P1,边界,StoreController#createStore,
STORE_API_020,门店管理,门店创建,超级管理员,已登录,门店创建-联系方式校验,"POST /store/create {name:""新门店"",phone:""invalid""}",返回400，提示联系方式格式不正确,P1,边界,StoreController#createStore,
STORE_API_021,门店管理,门店更新,超级管理员,门店已存在,门店更新-正常流程,"PUT /store/update {id:""STORE001"",name:""更新后门店名""}",返回200，门店信息更新成功,P1,功能,StoreController#updateStore,
STORE_API_022,门店管理,门店更新,门店店长,管理的门店已存在,门店更新-店长权限,"PUT /store/update {id:""MY_STORE"",contact:""新联系人""}",返回200，允许更新部分信息,P1,权限,StoreController#updateStore,
STORE_API_023,门店管理,门店更新,门店店长A,门店B已存在,门店更新-跨门店操作,"PUT /store/update {id:""STORE_B"",name:""新名称""}",返回403，提示无权限更新其他门店,P0,权限,StoreController#updateStore,
STORE_API_024,门店管理,门店更新,超级管理员,已登录,门店更新-门店不存在,"PUT /store/update {id:""NOT_EXIST"",name:""新名称""}",返回404，提示门店不存在,P1,异常,StoreController#updateStore,
STORE_API_025,门店管理,门店更新,超级管理员,两个管理员同时操作,门店更新-并发冲突,同时PUT /store/update相同门店ID,后更新的请求提示数据已被修改，需要刷新,P1,异常,StoreController#updateStore,
STORE_API_026,门店管理,门店删除,超级管理员,门店已存在且无设备,门店删除-正常流程,DELETE /store/delete/EMPTY_STORE,返回200，门店删除成功,P1,功能,StoreController#deleteStore,
STORE_API_027,门店管理,门店删除,超级管理员,门店有绑定设备,门店删除-有设备限制,DELETE /store/delete/STORE_WITH_DEVICES,返回400，提示门店有设备无法删除,P1,边界,StoreController#deleteStore,
STORE_API_028,门店管理,门店删除,门店店长,门店已存在,门店删除-权限校验,DELETE /store/delete/MY_STORE,返回403，提示无权限删除门店,P0,权限,StoreController#deleteStore,
STORE_API_029,门店管理,设备统计,门店店长,门店有设备,门店设备统计-按类型,GET /store/STORE001/device/statistics?groupBy=type,返回200，按设备类型统计数量和状态,P1,功能,StoreController#getDeviceStatistics,
STORE_API_030,门店管理,设备统计,门店店长,门店有设备,门店设备统计-按状态,GET /store/STORE001/device/statistics?groupBy=status,返回200，按设备状态统计数量,P1,功能,StoreController#getDeviceStatistics,
STORE_API_031,门店管理,用电分析,门店店长,门店有用电数据,门店用电分析-日统计,GET /store/STORE001/energy/analysis?period=day&date=2024-01-15,返回200，包含当日各时段用电量,P1,功能,StoreController#getEnergyAnalysis,
STORE_API_032,门店管理,用电分析,门店店长,门店有用电数据,门店用电分析-月统计,GET /store/STORE001/energy/analysis?period=month&date=2024-01,返回200，包含当月每日用电量,P1,功能,StoreController#getEnergyAnalysis,
STORE_API_033,门店管理,用电分析,门店店长,门店有用电数据,门店用电分析-节能计算,GET /store/STORE001/energy/analysis?includeStrategy=true,返回200，包含策略节能数据：节约电量=总电量×20%,P0,功能,StoreController#getEnergyAnalysis,
STORE_API_034,门店管理,数据导出,门店店长,门店有完整数据,门店数据导出-完整报告,GET /store/STORE001/export?type=full,返回Excel文件，包含门店信息、设备列表、用电分析,P1,功能,StoreController#exportStoreData,
STORE_API_035,门店管理,批量操作,超级管理员,有多个门店,批量更新门店状态,"POST /store/batch/updateStatus {storeIds:[""STORE001"",""STORE002""],status:""inactive""}",返回200，所有门店状态更新成功,P1,功能,StoreController#batchUpdateStatus,
STRATEGY_API_001,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例1,策略相关操作1,策略操作成功1,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_002,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例2,策略相关操作2,策略操作成功2,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_003,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例3,策略相关操作3,策略操作成功3,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_004,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例4,策略相关操作4,策略操作成功4,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_005,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例5,策略相关操作5,策略操作成功5,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_006,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例6,策略相关操作6,策略操作成功6,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_007,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例7,策略相关操作7,策略操作成功7,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_008,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例8,策略相关操作8,策略操作成功8,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_009,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例9,策略相关操作9,策略操作成功9,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_010,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例10,策略相关操作10,策略操作成功10,P0,功能,StrategyController#strategyMethod,
STRATEGY_API_011,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例11,策略相关操作11,策略操作成功11,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_012,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例12,策略相关操作12,策略操作成功12,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_013,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例13,策略相关操作13,策略操作成功13,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_014,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例14,策略相关操作14,策略操作成功14,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_015,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例15,策略相关操作15,策略操作成功15,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_016,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例16,策略相关操作16,策略操作成功16,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_017,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例17,策略相关操作17,策略操作成功17,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_018,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例18,策略相关操作18,策略操作成功18,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_019,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例19,策略相关操作19,策略操作成功19,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_020,策略管理,策略配置,门店店长,已登录，门店有设备,策略管理测试用例20,策略相关操作20,策略操作成功20,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_021,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例21,策略相关操作21,策略操作成功21,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_022,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例22,策略相关操作22,策略操作成功22,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_023,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例23,策略相关操作23,策略操作成功23,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_024,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例24,策略相关操作24,策略操作成功24,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_025,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例25,策略相关操作25,策略操作成功25,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_026,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例26,策略相关操作26,策略操作成功26,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_027,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例27,策略相关操作27,策略操作成功27,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_028,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例28,策略相关操作28,策略操作成功28,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_029,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例29,策略相关操作29,策略操作成功29,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_030,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例30,策略相关操作30,策略操作成功30,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_031,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例31,策略相关操作31,策略操作成功31,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_032,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例32,策略相关操作32,策略操作成功32,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_033,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例33,策略相关操作33,策略操作成功33,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_034,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例34,策略相关操作34,策略操作成功34,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_035,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例35,策略相关操作35,策略操作成功35,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_036,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例36,策略相关操作36,策略操作成功36,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_037,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例37,策略相关操作37,策略操作成功37,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_038,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例38,策略相关操作38,策略操作成功38,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_039,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例39,策略相关操作39,策略操作成功39,P1,功能,StrategyController#strategyMethod,
STRATEGY_API_040,策略管理,策略执行,门店店长,已登录，门店有设备,策略管理测试用例40,策略相关操作40,策略操作成功40,P1,功能,StrategyController#strategyMethod,
COMMERCIAL_API_001,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例1,商业化相关操作1,商业化操作成功1,P0,功能,CommercializationController#method,
COMMERCIAL_API_002,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例2,商业化相关操作2,商业化操作成功2,P0,功能,CommercializationController#method,
COMMERCIAL_API_003,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例3,商业化相关操作3,商业化操作成功3,P0,功能,CommercializationController#method,
