ID,模块,子模块/页面,角色,前置条件,用例标题,输入/操作,期望结果,等级,类型,关联接口/组件,备注
COMMERCIAL_API_004,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例4,商业化相关操作4,商业化操作成功4,P0,功能,CommercializationController#method,
COMMERCIAL_API_005,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例5,商业化相关操作5,商业化操作成功5,P0,功能,CommercializationController#method,
COMMERCIAL_API_006,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例6,商业化相关操作6,商业化操作成功6,P0,功能,CommercializationController#method,
COMMERCIAL_API_007,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例7,商业化相关操作7,商业化操作成功7,P0,功能,CommercializationController#method,
COMMERCIAL_API_008,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例8,商业化相关操作8,商业化操作成功8,P0,功能,CommercializationController#method,
COMMERCIAL_API_009,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例9,商业化相关操作9,商业化操作成功9,P0,功能,CommercializationController#method,
COMMERCIAL_API_010,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例10,商业化相关操作10,商业化操作成功10,P0,功能,CommercializationController#method,
COMMERCIAL_API_011,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例11,商业化相关操作11,商业化操作成功11,P1,功能,CommercializationController#method,
COMMERCIAL_API_012,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例12,商业化相关操作12,商业化操作成功12,P1,功能,CommercializationController#method,
COMMERCIAL_API_013,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例13,商业化相关操作13,商业化操作成功13,P1,功能,CommercializationController#method,
COMMERCIAL_API_014,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例14,商业化相关操作14,商业化操作成功14,P1,功能,CommercializationController#method,
COMMERCIAL_API_015,商业化管理,权限管理,超级管理员,已登录，有商业化权限,商业化管理测试用例15,商业化相关操作15,商业化操作成功15,P1,功能,CommercializationController#method,
COMMERCIAL_API_016,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例16,商业化相关操作16,商业化操作成功16,P1,功能,CommercializationController#method,
COMMERCIAL_API_017,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例17,商业化相关操作17,商业化操作成功17,P1,功能,CommercializationController#method,
COMMERCIAL_API_018,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例18,商业化相关操作18,商业化操作成功18,P1,功能,CommercializationController#method,
COMMERCIAL_API_019,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例19,商业化相关操作19,商业化操作成功19,P1,功能,CommercializationController#method,
COMMERCIAL_API_020,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例20,商业化相关操作20,商业化操作成功20,P1,功能,CommercializationController#method,
COMMERCIAL_API_021,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例21,商业化相关操作21,商业化操作成功21,P1,功能,CommercializationController#method,
COMMERCIAL_API_022,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例22,商业化相关操作22,商业化操作成功22,P1,功能,CommercializationController#method,
COMMERCIAL_API_023,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例23,商业化相关操作23,商业化操作成功23,P1,功能,CommercializationController#method,
COMMERCIAL_API_024,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例24,商业化相关操作24,商业化操作成功24,P1,功能,CommercializationController#method,
COMMERCIAL_API_025,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例25,商业化相关操作25,商业化操作成功25,P1,功能,CommercializationController#method,
COMMERCIAL_API_026,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例26,商业化相关操作26,商业化操作成功26,P1,功能,CommercializationController#method,
COMMERCIAL_API_027,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例27,商业化相关操作27,商业化操作成功27,P1,功能,CommercializationController#method,
COMMERCIAL_API_028,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例28,商业化相关操作28,商业化操作成功28,P1,功能,CommercializationController#method,
COMMERCIAL_API_029,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例29,商业化相关操作29,商业化操作成功29,P1,功能,CommercializationController#method,
COMMERCIAL_API_030,商业化管理,策略授权,超级管理员,已登录，有商业化权限,商业化管理测试用例30,商业化相关操作30,商业化操作成功30,P1,功能,CommercializationController#method,
PRODUCT_API_001,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例1,产品相关操作1,产品操作成功1,P1,功能,ProductController#method,
PRODUCT_API_002,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例2,产品相关操作2,产品操作成功2,P1,功能,ProductController#method,
PRODUCT_API_003,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例3,产品相关操作3,产品操作成功3,P1,功能,ProductController#method,
PRODUCT_API_004,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例4,产品相关操作4,产品操作成功4,P1,功能,ProductController#method,
PRODUCT_API_005,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例5,产品相关操作5,产品操作成功5,P1,功能,ProductController#method,
PRODUCT_API_006,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例6,产品相关操作6,产品操作成功6,P1,功能,ProductController#method,
PRODUCT_API_007,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例7,产品相关操作7,产品操作成功7,P1,功能,ProductController#method,
PRODUCT_API_008,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例8,产品相关操作8,产品操作成功8,P1,功能,ProductController#method,
PRODUCT_API_009,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例9,产品相关操作9,产品操作成功9,P1,功能,ProductController#method,
PRODUCT_API_010,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例10,产品相关操作10,产品操作成功10,P1,功能,ProductController#method,
PRODUCT_API_011,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例11,产品相关操作11,产品操作成功11,P1,功能,ProductController#method,
PRODUCT_API_012,产品管理,产品配置,超级管理员,已登录，有产品管理权限,产品管理测试用例12,产品相关操作12,产品操作成功12,P1,功能,ProductController#method,
PRODUCT_API_013,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例13,产品相关操作13,产品操作成功13,P1,功能,ProductController#method,
PRODUCT_API_014,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例14,产品相关操作14,产品操作成功14,P1,功能,ProductController#method,
PRODUCT_API_015,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例15,产品相关操作15,产品操作成功15,P1,功能,ProductController#method,
PRODUCT_API_016,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例16,产品相关操作16,产品操作成功16,P1,功能,ProductController#method,
PRODUCT_API_017,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例17,产品相关操作17,产品操作成功17,P1,功能,ProductController#method,
PRODUCT_API_018,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例18,产品相关操作18,产品操作成功18,P1,功能,ProductController#method,
PRODUCT_API_019,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例19,产品相关操作19,产品操作成功19,P1,功能,ProductController#method,
PRODUCT_API_020,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例20,产品相关操作20,产品操作成功20,P1,功能,ProductController#method,
PRODUCT_API_021,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例21,产品相关操作21,产品操作成功21,P1,功能,ProductController#method,
PRODUCT_API_022,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例22,产品相关操作22,产品操作成功22,P1,功能,ProductController#method,
PRODUCT_API_023,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例23,产品相关操作23,产品操作成功23,P1,功能,ProductController#method,
PRODUCT_API_024,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例24,产品相关操作24,产品操作成功24,P1,功能,ProductController#method,
PRODUCT_API_025,产品管理,品类管理,超级管理员,已登录，有产品管理权限,产品管理测试用例25,产品相关操作25,产品操作成功25,P1,功能,ProductController#method,
STATS_API_001,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例1,统计相关操作1,统计操作成功1,P1,功能,StatisticsController#method,
STATS_API_002,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例2,统计相关操作2,统计操作成功2,P1,功能,StatisticsController#method,
STATS_API_003,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例3,统计相关操作3,统计操作成功3,P1,功能,StatisticsController#method,
STATS_API_004,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例4,统计相关操作4,统计操作成功4,P1,功能,StatisticsController#method,
STATS_API_005,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例5,统计相关操作5,统计操作成功5,P1,功能,StatisticsController#method,
STATS_API_006,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例6,统计相关操作6,统计操作成功6,P1,功能,StatisticsController#method,
STATS_API_007,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例7,统计相关操作7,统计操作成功7,P1,功能,StatisticsController#method,
STATS_API_008,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例8,统计相关操作8,统计操作成功8,P1,功能,StatisticsController#method,
STATS_API_009,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例9,统计相关操作9,统计操作成功9,P1,功能,StatisticsController#method,
STATS_API_010,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例10,统计相关操作10,统计操作成功10,P1,功能,StatisticsController#method,
STATS_API_011,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例11,统计相关操作11,统计操作成功11,P1,功能,StatisticsController#method,
STATS_API_012,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例12,统计相关操作12,统计操作成功12,P1,功能,StatisticsController#method,
STATS_API_013,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例13,统计相关操作13,统计操作成功13,P1,功能,StatisticsController#method,
STATS_API_014,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例14,统计相关操作14,统计操作成功14,P1,功能,StatisticsController#method,
STATS_API_015,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例15,统计相关操作15,统计操作成功15,P1,功能,StatisticsController#method,
STATS_API_016,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例16,统计相关操作16,统计操作成功16,P1,功能,StatisticsController#method,
STATS_API_017,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例17,统计相关操作17,统计操作成功17,P1,功能,StatisticsController#method,
STATS_API_018,数据统计,用电统计,门店店长,已登录，有统计数据,数据统计测试用例18,统计相关操作18,统计操作成功18,P1,功能,StatisticsController#method,
STATS_API_019,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例19,统计相关操作19,统计操作成功19,P1,功能,StatisticsController#method,
STATS_API_020,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例20,统计相关操作20,统计操作成功20,P1,功能,StatisticsController#method,
STATS_API_021,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例21,统计相关操作21,统计操作成功21,P1,功能,StatisticsController#method,
STATS_API_022,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例22,统计相关操作22,统计操作成功22,P1,功能,StatisticsController#method,
STATS_API_023,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例23,统计相关操作23,统计操作成功23,P1,功能,StatisticsController#method,
STATS_API_024,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例24,统计相关操作24,统计操作成功24,P1,功能,StatisticsController#method,
STATS_API_025,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例25,统计相关操作25,统计操作成功25,P1,功能,StatisticsController#method,
STATS_API_026,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例26,统计相关操作26,统计操作成功26,P1,功能,StatisticsController#method,
STATS_API_027,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例27,统计相关操作27,统计操作成功27,P1,功能,StatisticsController#method,
STATS_API_028,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例28,统计相关操作28,统计操作成功28,P1,功能,StatisticsController#method,
STATS_API_029,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例29,统计相关操作29,统计操作成功29,P1,功能,StatisticsController#method,
STATS_API_030,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例30,统计相关操作30,统计操作成功30,P1,功能,StatisticsController#method,
STATS_API_031,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例31,统计相关操作31,统计操作成功31,P1,功能,StatisticsController#method,
STATS_API_032,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例32,统计相关操作32,统计操作成功32,P1,功能,StatisticsController#method,
STATS_API_033,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例33,统计相关操作33,统计操作成功33,P1,功能,StatisticsController#method,
STATS_API_034,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例34,统计相关操作34,统计操作成功34,P1,功能,StatisticsController#method,
STATS_API_035,数据统计,设备统计,门店店长,已登录，有统计数据,数据统计测试用例35,统计相关操作35,统计操作成功35,P1,功能,StatisticsController#method,
TUYA_API_001,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例1,涂鸦相关操作1,涂鸦操作成功1,P1,功能,TuyaController#method,
TUYA_API_002,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例2,涂鸦相关操作2,涂鸦操作成功2,P1,功能,TuyaController#method,
TUYA_API_003,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例3,涂鸦相关操作3,涂鸦操作成功3,P1,功能,TuyaController#method,
TUYA_API_004,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例4,涂鸦相关操作4,涂鸦操作成功4,P1,功能,TuyaController#method,
TUYA_API_005,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例5,涂鸦相关操作5,涂鸦操作成功5,P1,功能,TuyaController#method,
TUYA_API_006,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例6,涂鸦相关操作6,涂鸦操作成功6,P1,功能,TuyaController#method,
TUYA_API_007,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例7,涂鸦相关操作7,涂鸦操作成功7,P1,功能,TuyaController#method,
TUYA_API_008,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例8,涂鸦相关操作8,涂鸦操作成功8,P1,功能,TuyaController#method,
TUYA_API_009,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例9,涂鸦相关操作9,涂鸦操作成功9,P1,功能,TuyaController#method,
TUYA_API_010,涂鸦集成,设备同步,系统管理员,涂鸦平台已配置,涂鸦集成测试用例10,涂鸦相关操作10,涂鸦操作成功10,P1,功能,TuyaController#method,
TUYA_API_011,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例11,涂鸦相关操作11,涂鸦操作成功11,P1,功能,TuyaController#method,
TUYA_API_012,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例12,涂鸦相关操作12,涂鸦操作成功12,P1,功能,TuyaController#method,
TUYA_API_013,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例13,涂鸦相关操作13,涂鸦操作成功13,P1,功能,TuyaController#method,
TUYA_API_014,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例14,涂鸦相关操作14,涂鸦操作成功14,P1,功能,TuyaController#method,
TUYA_API_015,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例15,涂鸦相关操作15,涂鸦操作成功15,P1,功能,TuyaController#method,
TUYA_API_016,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例16,涂鸦相关操作16,涂鸦操作成功16,P1,功能,TuyaController#method,
TUYA_API_017,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例17,涂鸦相关操作17,涂鸦操作成功17,P1,功能,TuyaController#method,
TUYA_API_018,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例18,涂鸦相关操作18,涂鸦操作成功18,P1,功能,TuyaController#method,
TUYA_API_019,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例19,涂鸦相关操作19,涂鸦操作成功19,P1,功能,TuyaController#method,
TUYA_API_020,涂鸦集成,数据推送,系统管理员,涂鸦平台已配置,涂鸦集成测试用例20,涂鸦相关操作20,涂鸦操作成功20,P1,功能,TuyaController#method,
DASH_UI_001,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例1,驾驶舱UI操作1,UI显示正确1,P0,功能,src/views/dashboard/index.vue,
DASH_UI_002,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例2,驾驶舱UI操作2,UI显示正确2,P0,功能,src/views/dashboard/index.vue,
DASH_UI_003,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例3,驾驶舱UI操作3,UI显示正确3,P0,功能,src/views/dashboard/index.vue,
DASH_UI_004,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例4,驾驶舱UI操作4,UI显示正确4,P0,功能,src/views/dashboard/index.vue,
DASH_UI_005,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例5,驾驶舱UI操作5,UI显示正确5,P0,功能,src/views/dashboard/index.vue,
DASH_UI_006,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例6,驾驶舱UI操作6,UI显示正确6,P0,功能,src/views/dashboard/index.vue,
DASH_UI_007,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例7,驾驶舱UI操作7,UI显示正确7,P0,功能,src/views/dashboard/index.vue,
DASH_UI_008,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例8,驾驶舱UI操作8,UI显示正确8,P0,功能,src/views/dashboard/index.vue,
DASH_UI_009,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例9,驾驶舱UI操作9,UI显示正确9,P1,功能,src/views/dashboard/index.vue,
DASH_UI_010,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例10,驾驶舱UI操作10,UI显示正确10,P1,功能,src/views/dashboard/index.vue,
DASH_UI_011,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例11,驾驶舱UI操作11,UI显示正确11,P1,功能,src/views/dashboard/index.vue,
DASH_UI_012,驾驶舱,用电统计,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例12,驾驶舱UI操作12,UI显示正确12,P1,功能,src/views/dashboard/index.vue,
DASH_UI_013,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例13,驾驶舱UI操作13,UI显示正确13,P1,功能,src/views/dashboard/index.vue,
DASH_UI_014,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例14,驾驶舱UI操作14,UI显示正确14,P1,功能,src/views/dashboard/index.vue,
DASH_UI_015,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例15,驾驶舱UI操作15,UI显示正确15,P1,功能,src/views/dashboard/index.vue,
DASH_UI_016,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例16,驾驶舱UI操作16,UI显示正确16,P1,功能,src/views/dashboard/index.vue,
DASH_UI_017,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例17,驾驶舱UI操作17,UI显示正确17,P1,功能,src/views/dashboard/index.vue,
DASH_UI_018,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例18,驾驶舱UI操作18,UI显示正确18,P1,功能,src/views/dashboard/index.vue,
DASH_UI_019,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例19,驾驶舱UI操作19,UI显示正确19,P1,功能,src/views/dashboard/index.vue,
DASH_UI_020,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例20,驾驶舱UI操作20,UI显示正确20,P1,功能,src/views/dashboard/index.vue,
DASH_UI_021,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例21,驾驶舱UI操作21,UI显示正确21,P1,功能,src/views/dashboard/index.vue,
DASH_UI_022,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例22,驾驶舱UI操作22,UI显示正确22,P1,功能,src/views/dashboard/index.vue,
DASH_UI_023,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例23,驾驶舱UI操作23,UI显示正确23,P1,功能,src/views/dashboard/index.vue,
DASH_UI_024,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例24,驾驶舱UI操作24,UI显示正确24,P1,功能,src/views/dashboard/index.vue,
DASH_UI_025,驾驶舱,设备监控,门店店长,已登录驾驶舱页面,驾驶舱UI测试用例25,驾驶舱UI操作25,UI显示正确25,P1,功能,src/views/dashboard/index.vue,
DEVICE_UI_001,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例1,设备UI操作1,UI显示正确1,P0,功能,src/views/device/index.vue,
DEVICE_UI_002,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例2,设备UI操作2,UI显示正确2,P0,功能,src/views/device/index.vue,
DEVICE_UI_003,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例3,设备UI操作3,UI显示正确3,P0,功能,src/views/device/index.vue,
DEVICE_UI_004,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例4,设备UI操作4,UI显示正确4,P0,功能,src/views/device/index.vue,
DEVICE_UI_005,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例5,设备UI操作5,UI显示正确5,P0,功能,src/views/device/index.vue,
DEVICE_UI_006,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例6,设备UI操作6,UI显示正确6,P0,功能,src/views/device/index.vue,
DEVICE_UI_007,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例7,设备UI操作7,UI显示正确7,P0,功能,src/views/device/index.vue,
DEVICE_UI_008,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例8,设备UI操作8,UI显示正确8,P0,功能,src/views/device/index.vue,
DEVICE_UI_009,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例9,设备UI操作9,UI显示正确9,P0,功能,src/views/device/index.vue,
DEVICE_UI_010,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例10,设备UI操作10,UI显示正确10,P0,功能,src/views/device/index.vue,
DEVICE_UI_011,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例11,设备UI操作11,UI显示正确11,P1,功能,src/views/device/index.vue,
DEVICE_UI_012,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例12,设备UI操作12,UI显示正确12,P1,功能,src/views/device/index.vue,
DEVICE_UI_013,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例13,设备UI操作13,UI显示正确13,P1,功能,src/views/device/index.vue,
DEVICE_UI_014,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例14,设备UI操作14,UI显示正确14,P1,功能,src/views/device/index.vue,
DEVICE_UI_015,设备管理,设备列表,门店店长,已登录设备管理页面,设备管理UI测试用例15,设备UI操作15,UI显示正确15,P1,功能,src/views/device/index.vue,
DEVICE_UI_016,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例16,设备UI操作16,UI显示正确16,P1,功能,src/views/device/index.vue,
DEVICE_UI_017,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例17,设备UI操作17,UI显示正确17,P1,功能,src/views/device/index.vue,
DEVICE_UI_018,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例18,设备UI操作18,UI显示正确18,P1,功能,src/views/device/index.vue,
DEVICE_UI_019,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例19,设备UI操作19,UI显示正确19,P1,功能,src/views/device/index.vue,
DEVICE_UI_020,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例20,设备UI操作20,UI显示正确20,P1,功能,src/views/device/index.vue,
DEVICE_UI_021,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例21,设备UI操作21,UI显示正确21,P1,功能,src/views/device/index.vue,
DEVICE_UI_022,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例22,设备UI操作22,UI显示正确22,P1,功能,src/views/device/index.vue,
DEVICE_UI_023,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例23,设备UI操作23,UI显示正确23,P1,功能,src/views/device/index.vue,
DEVICE_UI_024,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例24,设备UI操作24,UI显示正确24,P1,功能,src/views/device/index.vue,
DEVICE_UI_025,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例25,设备UI操作25,UI显示正确25,P1,功能,src/views/device/index.vue,
DEVICE_UI_026,设备管理,设备控制,门店店长,已登录设备管理页面,设备管理UI测试用例26,设备UI操作26,UI显示正确26,P1,功能,src/views/device/index.vue,
